Start, ,FF(au,PCE(a
15:05,Sep/1,  ,-1.44
 Pmp(, Vmp(,Imp(A,Jsc(A
2.549,9.000,2.832,-4.47
Voc(V, Ioc(, Vsc(,Isc(A
4.648,1.807,8.108,-3.80
 , , , 
Time(,Volta,Curre,Power
0.000,-5.00,-4.93,2.467
0.117,-4.81,-4.95,2.384
0.234,-4.62,-4.92,2.277
0.351,-4.43,-4.87,2.159
0.468,-4.24,-4.91,2.086
0.586,-4.05,-4.89,1.984
0.703,-3.86,-4.84,1.873
0.820,-3.67,-4.81,1.768
0.937,-3.48,-4.77,1.666
1.054,-3.29,-4.73,1.562
1.172,-3.10,-4.69,1.459
1.289,-2.91,-4.64,1.357
1.406,-2.72,-4.60,1.256
1.523,-2.54,-4.55,1.156
1.640,-2.35,-4.50,1.058
1.757,-2.16,-4.44,9.613
1.875,-1.97,-4.39,8.666
1.993,-1.78,-4.35,7.761
2.110,-1.59,-4.29,6.849
2.227,-1.40,-4.23,5.957
2.344,-1.21,-4.18,5.089
2.461,-1.02,-4.12,4.239
2.579,-8.37,-4.06,3.409
2.696,-6.48,-4.00,2.597
2.813,-4.59,-3.93,1.810
2.930,-2.70,-3.82,1.034
3.047,-8.10,-3.80,3.085
3.165,1.081,-3.73,-4.03
3.282,2.972,-3.66,-1.09
3.399,4.864,-3.59,-1.74
3.516,6.756,-3.52,-2.37
3.633,8.648,-3.44,-2.98
3.751,1.054,-3.36,-3.55
3.868,1.243,-3.28,-4.08
3.985,1.432,-3.20,-4.59
4.102,1.621,-3.11,-5.05
4.219,1.810,-3.01,-5.46
4.337,2.000,-2.91,-5.83
4.455,2.189,-2.82,-6.18
4.572,2.378,-2.73,-6.49
4.689,2.567,-2.61,-6.72
4.806,2.756,-2.49,-6.88
4.923,2.945,-2.38,-7.02
5.041,3.135,-2.26,-7.09
5.158,3.324,-2.10,-7.00
5.275,3.513,-1.96,-6.90
5.392,3.702,-1.76,-6.53
5.509,3.891,-1.58,-6.16
5.627,4.081,-1.35,-5.54
5.744,4.270,-1.06,-4.55
5.878,4.459,-6.85,-3.05
5.995,4.648,-1.80,-8.40
6.113,4.837,4.548,2.200
6.247,5.027,1.282,6.445
6.364,5.216,2.378,1.240
6.481,5.405,3.877,2.095
6.598,5.594,5.952,3.329
6.715,5.783,8.809,5.095
6.850,5.972,1.269,7.584
6.967,6.162,1.787,1.101
7.084,6.351,2.459,1.562
7.201,6.540,3.304,2.161
7.318,6.729,4.334,2.917
7.435,6.918,5.555,3.843
7.553,7.108,6.962,4.948
7.670,7.297,8.547,6.237
7.804,7.486,1.032,7.729
7.921,7.675,1.221,9.372
8.038,7.864,1.422,1.118
8.155,8.054,1.636,1.317
8.273,8.243,1.859,1.532
8.390,8.432,2.091,1.763
8.507,8.621,2.331,2.010
8.624,8.810,2.578,2.272
8.741,9.000,2.832,2.549
