Start,14:49, Pmp(,2.672,Voc(V,3.135, ,Time(,0.000,0.117,0.234,0.352,0.469,0.586,0.704,0.821,0.938,1.056,1.173,1.290,1.408,1.525,1.643,1.760,1.878,1.995,2.113,2.230,2.347,2.465,2.582,2.699,2.817,2.934,3.052,3.169,3.286,3.404,3.521,3.638,3.756,3.873,3.990,4.108,4.225,4.343,4.461,4.596,4.713,4.831,4.949,5.066,5.201,5.318,5.436,5.570,5.687,5.805,5.922,6.039,6.173,6.291,6.408,6.525,6.642,6.759,6.893,7.011,7.128,7.245,7.362,7.479,7.596,7.714,7.848,7.965,8.082,8.199,8.316,8.434,8.551,8.668,8.785
 ,Sep/1, Vmp(,9.000, Ioc(,3.101, ,Volta,-5.00,-4.81,-4.62,-4.43,-4.24,-4.05,-3.86,-3.67,-3.48,-3.29,-3.10,-2.91,-2.72,-2.54,-2.35,-2.16,-1.97,-1.78,-1.59,-1.40,-1.21,-1.02,-8.37,-6.48,-4.59,-2.70,-8.10,1.081,2.972,4.864,6.756,8.648,1.054,1.243,1.432,1.621,1.810,2.000,2.189,2.378,2.567,2.756,2.945,3.135,3.324,3.513,3.702,3.891,4.081,4.270,4.459,4.648,4.837,5.027,5.216,5.405,5.594,5.783,5.972,6.162,6.351,6.540,6.729,6.918,7.108,7.297,7.486,7.675,7.864,8.054,8.243,8.432,8.621,8.810,9.000
FF(au,  ,Imp(A,2.969, Vsc(,8.108, ,Curre,-1.13,-1.13,-1.13,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.13,-1.13,-1.12,-1.12,-1.12,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11,-1.12,-1.12,-1.12,-1.12,-1.12,-1.13,-1.13,-1.14,-1.13,-1.14,-1.13,-1.13,-1.13,-1.12,-1.11,-1.08,-1.05,-9.93,-8.98,-7.20,-3.66,3.101,1.534,3.558,6.816,1.212,2.082,3.490,5.716,9.169,1.430,2.141,3.130,4.532,6.526,9.332,1.319,1.837,2.515,3.375,4.431,5.691,7.150,8.803,1.064,1.262,1.475,1.700,1.937,2.183,2.438,2.701,2.969
PCE(a,-7.54,Jsc(A,-1.32,Isc(A,-1.12, ,Power,5.666,5.447,5.226,5.006,4.786,4.571,4.359,4.149,3.937,3.725,3.515,3.300,3.082,2.859,2.636,2.417,2.202,1.990,1.779,1.569,1.360,1.149,9.389,7.275,5.159,3.040,9.157,-1.22,-3.38,-5.54,-7.70,-9.86,-1.20,-1.41,-1.62,-1.82,-2.01,-2.17,-2.30,-2.36,-2.30,-1.98,-1.08,9.723,5.101,1.250,2.524,4.718,8.499,1.490,2.549,4.262,6.918,1.076,1.633,2.449,3.651,5.397,7.880,1.132,1.597,2.207,2.982,3.937,5.082,6.423,7.966,9.693,1.160,1.369,1.597,1.841,2.102,2.379,2.672
