Start,14:50, Pmp(,2.693,Voc(V,2.945, ,Time(,0.000,0.117,0.234,0.352,0.469,0.586,0.704,0.821,0.938,1.056,1.173,1.291,1.408,1.525,1.643,1.760,1.878,1.995,2.113,2.230,2.347,2.465,2.582,2.700,2.817,2.934,3.052,3.169,3.286,3.404,3.521,3.639,3.756,3.873,3.991,4.108,4.225,4.343,4.461,4.578,4.713,4.831,4.949,5.066,5.201,5.318,5.436,5.570,5.687,5.805,5.922,6.039,6.173,6.291,6.408,6.525,6.642,6.759,6.893,7.010,7.128,7.245,7.362,7.479,7.596,7.714,7.848,7.965,8.082,8.199,8.316,8.434,8.551,8.668,8.785
 ,Sep/1, Vmp(,9.000, Ioc(,3.577, ,Volta,-5.00,-4.81,-4.62,-4.43,-4.24,-4.05,-3.86,-3.67,-3.48,-3.29,-3.10,-2.91,-2.72,-2.54,-2.35,-2.16,-1.97,-1.78,-1.59,-1.40,-1.21,-1.02,-8.37,-6.48,-4.59,-2.70,-8.10,1.081,2.972,4.864,6.756,8.648,1.054,1.243,1.432,1.621,1.810,2.000,2.189,2.378,2.567,2.756,2.945,3.135,3.324,3.513,3.702,3.891,4.081,4.270,4.459,4.648,4.837,5.027,5.216,5.405,5.594,5.783,5.972,6.162,6.351,6.540,6.729,6.918,7.108,7.297,7.486,7.675,7.864,8.054,8.243,8.432,8.621,8.810,9.000
FF(au,  ,Imp(A,2.993, Vsc(,8.108, ,Curre,-1.12,-1.12,-1.12,-1.12,-1.12,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.13,-1.13,-1.13,-1.12,-1.12,-1.12,-1.12,-1.12,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.12,-1.11,-1.09,-1.03,-9.37,-7.43,-3.57,3.735,1.654,3.760,7.123,1.252,2.129,3.538,5.760,9.200,1.430,2.136,3.119,4.511,6.495,9.293,1.314,1.833,2.512,3.375,4.436,5.703,7.173,8.839,1.069,1.269,1.484,1.711,1.950,2.198,2.456,2.720,2.993
PCE(a,-8.11,Jsc(A,-1.32,Isc(A,-1.12, ,Power,5.613,5.401,5.196,4.990,4.780,4.582,4.387,4.183,3.967,3.748,3.526,3.300,3.077,2.859,2.645,2.434,2.221,2.008,1.795,1.583,1.371,1.159,9.505,7.350,5.195,3.052,9.135,-1.21,-3.35,-5.49,-7.64,-9.79,-1.19,-1.40,-1.62,-1.83,-2.04,-2.23,-2.38,-2.47,-2.40,-2.05,-1.05,1.171,5.499,1.321,2.637,4.875,8.691,1.511,2.568,4.277,6.921,1.074,1.626,2.438,3.633,5.374,7.852,1.129,1.595,2.207,2.985,3.946,5.099,6.450,8.009,9.747,1.167,1.378,1.607,1.854,2.117,2.397,2.693
