Start,14:50, Pmp(,2.694,Voc(V,2.945, ,Time(,0.000,0.117,0.234,0.352,0.469,0.586,0.704,0.821,0.938,1.056,1.173,1.291,1.408,1.525,1.643,1.760,1.878,1.995,2.113,2.230,2.348,2.465,2.582,2.700,2.817,2.934,3.052,3.169,3.287,3.404,3.521,3.639,3.756,3.873,3.991,4.108,4.225,4.343,4.461,4.578,4.713,4.831,4.949,5.066,5.201,5.318,5.436,5.570,5.687,5.805,5.922,6.039,6.174,6.291,6.408,6.525,6.642,6.759,6.894,7.011,7.128,7.245,7.362,7.479,7.597,7.714,7.848,7.965,8.082,8.199,8.317,8.434,8.551,8.668,8.785
 ,Sep/1, Vmp(,9.000, Ioc(,3.304, ,Volta,-5.00,-4.81,-4.62,-4.43,-4.24,-4.05,-3.86,-3.67,-3.48,-3.29,-3.10,-2.91,-2.72,-2.54,-2.35,-2.16,-1.97,-1.78,-1.59,-1.40,-1.21,-1.02,-8.37,-6.48,-4.59,-2.70,-8.10,1.081,2.972,4.864,6.756,8.648,1.054,1.243,1.432,1.621,1.810,2.000,2.189,2.378,2.567,2.756,2.945,3.135,3.324,3.513,3.702,3.891,4.081,4.270,4.459,4.648,4.837,5.027,5.216,5.405,5.594,5.783,5.972,6.162,6.351,6.540,6.729,6.918,7.108,7.297,7.486,7.675,7.864,8.054,8.243,8.432,8.621,8.810,9.000
FF(au,  ,Imp(A,2.993, Vsc(,8.108, ,Curre,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12,-1.11,-1.11,-1.11,-1.11,-1.12,-1.12,-1.12,-1.13,-1.12,-1.12,-1.11,-1.10,-1.08,-1.03,-9.30,-7.27,-3.30,4.132,1.724,3.885,7.313,1.277,2.155,3.560,5.774,9.200,1.428,2.130,3.107,4.493,6.470,9.258,1.310,1.828,2.506,3.368,4.430,5.697,7.167,8.834,1.069,1.269,1.484,1.711,1.950,2.198,2.456,2.721,2.993
PCE(a,-8.16,Jsc(A,-1.31,Isc(A,-1.11, ,Power,5.642,5.429,5.216,5.002,4.789,4.576,4.362,4.149,3.935,3.722,3.508,3.295,3.081,2.868,2.655,2.441,2.227,2.014,1.800,1.587,1.372,1.159,9.447,7.296,5.156,3.031,9.080,-1.20,-3.32,-5.44,-7.56,-9.72,-1.19,-1.40,-1.61,-1.82,-2.02,-2.21,-2.37,-2.45,-2.38,-2.00,-9.73,1.295,5.733,1.365,2.708,4.970,8.796,1.520,2.574,4.276,6.909,1.071,1.620,2.428,3.619,5.355,7.826,1.126,1.591,2.203,2.981,3.941,5.094,6.446,8.004,9.742,1.167,1.378,1.607,1.854,2.117,2.397,2.694
