Start,14:52, Pmp(,2.687,Voc(V,2.945, ,Time(,0.000,0.117,0.234,0.352,0.469,0.586,0.704,0.821,0.938,1.056,1.173,1.290,1.408,1.525,1.642,1.760,1.878,1.995,2.113,2.230,2.347,2.465,2.582,2.699,2.817,2.934,3.051,3.169,3.286,3.404,3.521,3.638,3.756,3.873,3.990,4.108,4.225,4.342,4.461,4.578,4.713,4.831,4.948,5.066,5.201,5.318,5.435,5.570,5.687,5.804,5.922,6.039,6.173,6.290,6.407,6.525,6.642,6.759,6.893,7.010,7.127,7.245,7.362,7.479,7.596,7.713,7.847,7.965,8.082,8.199,8.316,8.433,8.550,8.668,8.785
 ,Sep/1, Vmp(,9.000, Ioc(,3.449, ,Volta,-5.00,-4.81,-4.62,-4.43,-4.24,-4.05,-3.86,-3.67,-3.48,-3.29,-3.10,-2.91,-2.72,-2.54,-2.35,-2.16,-1.97,-1.78,-1.59,-1.40,-1.21,-1.02,-8.37,-6.48,-4.59,-2.70,-8.10,1.081,2.972,4.864,6.756,8.648,1.054,1.243,1.432,1.621,1.810,2.000,2.189,2.378,2.567,2.756,2.945,3.135,3.324,3.513,3.702,3.891,4.081,4.270,4.459,4.648,4.837,5.027,5.216,5.405,5.594,5.783,5.972,6.162,6.351,6.540,6.729,6.918,7.108,7.297,7.486,7.675,7.864,8.054,8.243,8.432,8.621,8.810,9.000
FF(au,  ,Imp(A,2.985, Vsc(,8.108, ,Curre,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.13,-1.12,-1.09,-1.04,-9.45,-7.41,-3.44,4.000,1.711,3.861,7.250,1.262,2.129,3.519,5.713,9.114,1.416,2.115,3.087,4.466,6.433,9.210,1.303,1.819,2.495,3.354,4.412,5.676,7.143,8.805,1.066,1.266,1.480,1.707,1.945,2.193,2.449,2.714,2.985
PCE(a,-7.95,Jsc(A,-1.34,Isc(A,-1.14, ,Power,5.735,5.519,5.301,5.084,4.867,4.650,4.433,4.216,3.999,3.782,3.565,3.348,3.130,2.914,2.696,2.479,2.262,2.045,1.829,1.611,1.395,1.177,9.608,7.438,5.268,3.099,9.295,-1.23,-3.40,-5.57,-7.74,-9.91,-1.20,-1.42,-1.63,-1.84,-2.05,-2.24,-2.40,-2.48,-2.42,-2.04,-1.01,1.254,5.688,1.356,2.684,4.914,8.689,1.503,2.547,4.237,6.854,1.063,1.610,2.414,3.599,5.327,7.787,1.121,1.584,2.194,2.969,3.927,5.077,6.425,7.982,9.717,1.164,1.374,1.603,1.849,2.112,2.391,2.687
