Start,14:53, Pmp(,2.679,Voc(V,2.945, ,Time(,0.000,0.117,0.234,0.352,0.469,0.586,0.704,0.821,0.938,1.056,1.173,1.290,1.408,1.525,1.642,1.760,1.878,1.995,2.113,2.230,2.347,2.465,2.582,2.699,2.817,2.934,3.051,3.169,3.286,3.404,3.521,3.638,3.756,3.873,3.990,4.108,4.225,4.343,4.461,4.578,4.713,4.831,4.948,5.066,5.201,5.318,5.436,5.570,5.687,5.804,5.922,6.039,6.173,6.290,6.408,6.525,6.642,6.759,6.893,7.010,7.128,7.245,7.362,7.479,7.596,7.714,7.848,7.965,8.082,8.199,8.316,8.433,8.551,8.668,8.785
 ,Sep/1, Vmp(,9.000, Ioc(,3.332, ,Volta,-5.00,-4.81,-4.62,-4.43,-4.24,-4.05,-3.86,-3.67,-3.48,-3.29,-3.10,-2.91,-2.72,-2.54,-2.35,-2.16,-1.97,-1.78,-1.59,-1.40,-1.21,-1.02,-8.37,-6.48,-4.59,-2.70,-8.10,1.081,2.972,4.864,6.756,8.648,1.054,1.243,1.432,1.621,1.810,2.000,2.189,2.378,2.567,2.756,2.945,3.135,3.324,3.513,3.702,3.891,4.081,4.270,4.459,4.648,4.837,5.027,5.216,5.405,5.594,5.783,5.972,6.162,6.351,6.540,6.729,6.918,7.108,7.297,7.486,7.675,7.864,8.054,8.243,8.432,8.621,8.810,9.000
FF(au,  ,Imp(A,2.977, Vsc(,8.108, ,Curre,-1.13,-1.13,-1.13,-1.13,-1.13,-1.12,-1.13,-1.14,-1.15,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14,-1.13,-1.12,-1.09,-1.04,-9.42,-7.36,-3.33,4.238,1.757,3.941,7.368,1.277,2.143,3.530,5.715,9.103,1.413,2.109,3.078,4.451,6.412,9.180,1.299,1.814,2.488,3.345,4.400,5.661,7.124,8.781,1.063,1.262,1.475,1.702,1.939,2.186,2.442,2.706,2.977
PCE(a,-7.92,Jsc(A,-1.35,Isc(A,-1.14, ,Power,5.654,5.440,5.226,5.013,4.797,4.577,4.381,4.226,4.010,3.789,3.570,3.352,3.135,2.916,2.698,2.481,2.264,2.048,1.831,1.614,1.396,1.179,9.621,7.445,5.274,3.102,9.308,-1.24,-3.41,-5.58,-7.75,-9.92,-1.20,-1.42,-1.63,-1.85,-2.05,-2.24,-2.40,-2.48,-2.42,-2.03,-9.81,1.328,5.843,1.384,2.728,4.971,8.748,1.507,2.548,4.231,6.840,1.060,1.605,2.406,3.587,5.309,7.763,1.117,1.580,2.188,2.961,3.917,5.063,6.408,7.960,9.688,1.160,1.371,1.598,1.843,2.106,2.384,2.679
